SiteID,Name,Short Name,Latitude,Longitude,Geographic Coordinate System,Easting,Northing,Zone,Start date,Cease date,Active,Elevation (m),Basin,Site types,Catchment Management Authority,Gauge Zero (mAHD),Drainage Area (sq.km),Gauge Count,Last Gauge Date,First Gauge Date,Maximum Gauge (m),Maximum Gauge Date,Gauge Datum,Control,Cease to flow (m),Datum,Spillway (mAHD)
 "407319","HEPBURN LAGOON @ OUTFALL CREEK","HEPBURN LAGOON O/F C"," 37�21'56.3""S","143�59'26.1""E","World Geodetic System 1984","764843.997","5860355.001","54","2006/06/29","","true","510.741","Loddon","SW","North Central CMA","0.000","0.00000","37","2026/02/05","2006/07/21","0.270","2010/12/15","Universal Transverse Mercator","Artificial: 90 deg V-notch","0.000","Arbitrary","0.000"
 "407381","SPRING CREEK @ U/S HEPBURN RESERVOIR","SPRING C U/S HEP. RS"," 37�19'41.5""S","144�09'29.1""E","Geodetic Datum of Australia 1994","248200.460","5864929.217","55","2017/05/25","","true","545.427","Loddon","SW","North Central CMA","0.000","1.83999","53","2025/12/09","2017/07/20","0.202","2022/10/17","(unknown)","Control: Artificial; Broad crested concrete weir","0.100","Arbitrary","0.000"
 "407394","BENDIGO CREEK @ HOWARD STREET BRIDGE","Howard St Bridge"," 36�42'17.6""S","144�18'48.5""E","Geodetic Datum of Australia 1994","260016.222","5934499.230","55","","","true","188.000","Loddon","","","0.000","0.00000","9","2026/04/14","2024/08/05","4.533","2026/02/25","(unknown)","","0.000","Unknown","0.000"
 "407395","BENDIGO CREEK @ LEANS ROAD","Leans Rd"," 36�40'22.1""S","144�18'32.4""E","Geodetic Datum of Australia 1994","259517.635","5938049.391","55","2021/11/17","","true","177.732","Loddon","SW","","0.000","0.00000","9","2026/04/13","2022/08/12","0.745","2022/09/15","(unknown)","","0.000","Unknown","0.000"
 "407712","LOCKINGTON MAIN DRAIN @ MURPHY SWAMP","LOCKING.MD.@ MURPHY"," 36�04'48.7""S","144�33'59.7""E","World Geodetic System 1984","280882.996","6004403.000","55","1979/01/11","","true","92.437","Loddon","RF,SW,WQ","North Central CMA","0.011","0.00000","129","2026/03/12","1978/08/28","90.711","1981/07/31","Universal Transverse Mercator","ARTIFICIAL","89.725","Australian Height Datum","0.000"
 "407716","LOCKINGTON DRAIN 3 @ KOTTA","LOCKINGTON @ KOTTA"," 36�11'37.7""S","144�29'48.2""E","World Geodetic System 1984","274915.999","5991636.000","55","1979/01/16","2013/07/03","true","97.900","Loddon","SW","North Central CMA","0.000","0.00000","61","2013/05/03","1979/05/04","98.282","1992/10/19","Universal Transverse Mercator","ARTIFICIAL CONCRETE WEIR","96.605","Australian Height Datum","0.000"
 "407732","PYRAMID NO. 1 DRAIN @ HIRDS SWAMP","PYRAMID 1 @HIR.SWAMP"," 35�52'52.8""S","144�06'05.1""E","World Geodetic System 1984","238330.003","6025318.000","55","1990/03/08","","true","78.604","Loddon","SW","North Central CMA","0.000","0.00000","83","2025/06/18","1990/03/22","0.815","1992/05/21","Universal Transverse Mercator","ARTIFICIAL CONCRETE WEIR","0.100","Arbitrary","0.000"
 "407735","PYRAMID DRAIN No.2 @ U/S PYRAMID CREEK","PYRAMID DRAIN No.2"," 35�52'47.1""S","144�08'50.5""E","World Geodetic System 1984","242472.999","6025615.000","55","1980/12/15","","true","78.902","Loddon","SW","North Central CMA","78.052","0.00000","64","2023/09/26","1992/05/21","1.035","1992/10/14","Universal Transverse Mercator","ARTIFICIAL CONCRETE RECTANGULAR WEIR","0.250","Australian Height Datum","0.000"
 "408200","AVOCA RIVER @ COONOOER","AVOCA R @ COONOOER"," 36�26'16.7""S","143�17'54.0""E","Geodetic Datum of Australia 1994","706009.255","5965018.030","54","1909/01/01","","true","142.396","Avoca","RF,SW,WQ","North Central CMA","142.640","2668.00000","416","2025/11/18","1942/10/06","5.776","1956/05/18","(unknown)","Natural; River bed and banks","0.000","Unknown","0.000"
 "408202","AVOCA RIVER @ AMPHITHEATRE","AVOCA @ AMPHITHEATRE"," 37�10'54.5""S","143�24'21.0""E","World Geodetic System 1984","713567.997","5882235.000","54","1966/11/01","","true","267.515","Avoca","SW,WQ","North Central CMA","265.685","78.00000","374","2025/10/09","1966/11/01","2.135","1983/08/25","Universal Transverse Mercator","ARTIFICIAL CONCRETE WEIR","0.304","Australian Height Datum","0.000"
