Name,SiteID,RoundDate,Streamflow,Turbidity,Temperature,Latitude,Longitude,Easting,Northing
BUCHAN @ BUCHAN,222206,2,112.52,62,18," 37°29'45.0""S","148°10'23.7""E",603711.004,5849459.000
BUCHAN @ BUCHAN,222206,3,114.51,2.8,22.8," 37°29'45.0""S","148°10'23.7""E",603711.004,5849459.000
BUCHAN @ BUCHAN,222206,4,302.53,4.6,17.6," 37°29'45.0""S","148°10'23.7""E",603711.004,5849459.000
BUCHAN @ BUCHAN,222206,5,200.86,2.2,10," 37°29'45.0""S","148°10'23.7""E",603711.004,5849459.000
BUCHAN @ BUCHAN,222206,6,529.88,34,8," 37°29'45.0""S","148°10'23.7""E",603711.004,5849459.000
SNOWY @ MCKILLOPS BR,222209,7,2409.55,5.6,8," 37°05'01.1""S","148°24'47.7""E",625612.000,5894902.000
SNOWY @ MCKILLOPS BR,222209,8,2047.49,5.2,10.1," 37°05'01.1""S","148°24'47.7""E",625612.000,5894902.000
SNOWY @ MCKILLOPS BR,222209,9,2041.23,3.7,13.1," 37°05'01.1""S","148°24'47.7""E",625612.000,5894902.000
SNOWY @ MCKILLOPS BR,222209,10,2166.03,8.4,17," 37°05'01.1""S","148°24'47.7""E",625612.000,5894902.000
SNOWY @ MCKILLOPS BR,222209,11,1314.12,2.3,24.9," 37°05'01.1""S","148°24'47.7""E",625612.000,5894902.000
SNOWY @ MCKILLOPS BR,222209,12,1000.53,2.9,22," 37°05'01.1""S","148°24'47.7""E",625612.000,5894902.000
SNOWY @ MCKILLOPS BR,222209,1,859.53,19,25.5," 37°05'01.1""S","148°24'47.7""E",625612.000,5894902.000
SNOWY @ MCKILLOPS BR,222209,2,745.53,2.8,24," 37°05'01.1""S","148°24'47.7""E",625612.000,5894902.000
SNOWY @ MCKILLOPS BR,222209,3,563.62,3.3,23.3," 37°05'01.1""S","148°24'47.7""E",625612.000,5894902.000
SNOWY @ MCKILLOPS BR,222209,4,1473.54,2.3,17.7," 37°05'01.1""S","148°24'47.7""E",625612.000,5894902.000
SNOWY @ MCKILLOPS BR,222209,5,1387.02,3.8,12.3," 37°05'01.1""S","148°24'47.7""E",625612.000,5894902.000
SNOWY @ MCKILLOPS BR,222209,6,1665.71,159,8.6," 37°05'01.1""S","148°24'47.7""E",625612.000,5894902.000
RODGER @ JACKSONS,222217,7,669.21,4.1,8.6," 37°24'36.6""S","148°21'35.5""E",620346.002,5858744.000
RODGER @ JACKSONS,222217,8,204.92,3.8,8.6," 37°24'36.6""S","148°21'35.5""E",620346.002,5858744.000
RODGER @ JACKSONS,222217,9,163.02,3,10.8," 37°24'36.6""S","148°21'35.5""E",620346.002,5858744.000
RODGER @ JACKSONS,222217,10,146.47,4.7,10.3," 37°24'36.6""S","148°21'35.5""E",620346.002,5858744.000
RODGER @ JACKSONS,222217,11,98.5,4.2,18.4," 37°24'36.6""S","148°21'35.5""E",620346.002,5858744.000
RODGER @ JACKSONS,222217,12,67.03,4.3,18.4," 37°24'36.6""S","148°21'35.5""E",620346.002,5858744.000
RODGER @ JACKSONS,222217,1,64.37,3.8,22," 37°24'36.6""S","148°21'35.5""E",620346.002,5858744.000
RODGER @ JACKSONS,222217,2,68.61,7.4,20.6," 37°24'36.6""S","148°21'35.5""E",620346.002,5858744.000
