Date,Reservoir,Value,System
30/9/2010,Wilsons,1062,Ballarat
31/10/2010,Wilsons,1062,Ballarat
30/11/2010,Wilsons,1065,Ballarat
31/12/2010,Wilsons,816,Ballarat
31/1/2011,Wilsons,763,Ballarat
28/2/2011,Wilsons,836,Ballarat
31/3/2011,Wilsons,609,Ballarat
30/4/2011,Wilsons,113,Ballarat
31/5/2011,Wilsons,220,Ballarat
30/6/2011,Wilsons,358,Ballarat
31/7/2011,Wilsons,604,Ballarat
31/8/2011,Wilsons,895,Ballarat
30/9/2011,Wilsons,816,Ballarat
31/10/2011,Wilsons,644,Ballarat
30/11/2011,Wilsons,712,Ballarat
31/12/2011,Wilsons,362.0281069,Ballarat
31/1/2012,Wilsons,75,Ballarat
29/2/2012,Wilsons,82,Ballarat
31/3/2012,Wilsons,185.2658953,Ballarat
30/4/2012,Wilsons,200,Ballarat
31/5/2012,Wilsons,226,Ballarat
30/6/2012,Wilsons,448,Ballarat
31/7/2012,Wilsons,817,Ballarat
31/8/2012,Wilsons,1063,Ballarat
30/9/2012,Wilsons,1065,Ballarat
31/10/2012,Wilsons,842,Ballarat
30/11/2012,Wilsons,609,Ballarat
31/12/2012,Wilsons,596,Ballarat
31/1/2013,Wilsons,333,Ballarat
28/2/2013,Wilsons,302,Ballarat
31/3/2013,Wilsons,285,Ballarat
30/4/2013,Wilsons,273,Ballarat
31/5/2013,Wilsons,287,Ballarat
30/6/2013,Wilsons,317,Ballarat
31/7/2013,Wilsons,354,Ballarat
31/8/2013,Wilsons,547,Ballarat
30/9/2013,Wilsons,466,Ballarat
31/10/2013,Wilsons,609,Ballarat
30/11/2013,Wilsons,510,Ballarat
31/12/2013,Wilsons,99,Ballarat
31/1/2014,Wilsons,91,Ballarat
28/2/2014,Wilsons,73,Ballarat
31/3/2014,Wilsons,69,Ballarat
30/4/2014,Wilsons,71,Ballarat
31/5/2014,Wilsons,85,Ballarat
30/6/2014,Wilsons,131,Ballarat
31/7/2014,Wilsons,164.7,Ballarat
31/8/2014,Wilsons,68,Ballarat
30/9/2014,Wilsons,62,Ballarat
31/10/2014,Wilsons,53,Ballarat
30/11/2014,Wilsons,56.07,Ballarat
31/12/2014,Wilsons,0,Ballarat
31/1/2015,Wilsons,0,Ballarat
28/2/2015,Wilsons,0,Ballarat
31/3/2015,Wilsons,0,Ballarat
30/4/2015,Wilsons,0,Ballarat
31/5/2015,Wilsons,6,Ballarat
30/6/2015,Wilsons,6,Ballarat
31/7/2015,Wilsons,0,Ballarat
31/8/2015,Wilsons,0,Ballarat
30/9/2015,Wilsons,0,Ballarat
31/10/2015,Wilsons,20,Ballarat
30/11/2015,Wilsons,20,Ballarat
31/12/2015,Wilsons,4,Ballarat
31/1/2016,Wilsons,0,Ballarat
